English,Lisu, When/Why
"God called the vault “sky.”","ꓪꓴ-ꓢ ꓡꓰ ꓟꓵ: ꓪꓴ ꓖꓳ ꓟ ꓔꓯ꓾ ꓟꓴ ꓗꓪ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶˍ ꓡꓳ="
"God created mankind in his own image","ꓪꓴ-ꓢ ꓠꓬ ꓬꓲ ꓚꓲ ꓛꓬ ꓐꓬꓱ: ꓔꓯ ꓛꓳ ꓢꓲ ꓞꓳ ꓤ ꓔꓯ ꓚꓰ;ˍ ꓡꓳ"
"God created the heavens and the earth.","ꓪꓴ-ꓢ ꓡꓰ ꓟꓴ ꓗꓪˍ ꓐꓰ ꓟꓲ ꓠꓯ ꓔꓯ ꓚꓰ;ˍ ꓡꓳ="
"God created the water and the sky","ꓪꓴ-ꓢ ꓡꓰ ꓬꓲ ꓙꓬ ꓐꓰ ꓟꓴ ꓗꓪ ꓔꓯ ꓚꓰ;ˍ ꓡꓳ"
"God had finished the work he had been doing","ꓪꓴ-ꓢ ꓬꓲ ꓬꓰˍ ꓟ ꓟꓬꓱ: ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"God had finished","ꓪꓴ-ꓢ ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"God is great","ꓪꓴ‐ꓢ ꓠꓬ ꓮ ꓘꓶ. ꓙꓲˍ ꓡꓳ"
"God made the firmament,","ꓖꓳ ꓡꓱ ꓢꓲ ꓪꓴ-ꓢ ꓡꓰ ꓟꓵ: ꓪꓴ ꓚꓰ; ꓢꓲ꓾"
"God said let there be light","ꓪꓴ-ꓢ ꓡꓰ ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓙꓳꓻ ꓡ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ꓿"
"God said let there be water.","ꓪꓴ-ꓢ ꓡꓰ ꓬꓲ ꓙꓬ ꓙꓳꓻ ꓡ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ꓿"
"God said","ꓪꓴ-ꓢ ꓡꓰ ꓐꓯˍ ꓡꓳ"
"god said,'you are not alone'", "ꓪꓴ˗ꓢ ꓡꓰ꓾ ꓠꓴ ꓠꓬ ꓕꓲ ꓣꓳ ꓔꓵꓸꓼ ꓟꓽ ꓥ ꓐꓯˍ ꓡꓳ꓿"
"God said,","ꓪꓴ-ꓢ ꓡꓰ ꓐꓯˍ ꓡꓳ꓾"
"God saw all that he had made, and it was very good.","ꓬꓲ ꓡꓰ ꓚꓰ; ꓔˍ ꓟ ꓥ ꓕ ꓑꓳ ꓠꓬ ꓮ ꓘꓶ ꓙꓲˍ ꓟ ꓥ ꓡꓳ꓾ ꓐꓰ ꓪꓴ-ꓢ ꓡꓳ. ꓟꓳˍ ꓡꓳ="
"God saw that the light was good, and he separated the light from the darkness.","ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓠꓬ ꓙꓲˍ ꓟ ꓥ ꓡꓳ꓾ ꓐꓰ ꓪꓴ-ꓢ ꓟꓳꓻ ꓗꓷ ꓠꓬ꓾ ꓪꓴ-ꓢ ꓡꓰ ꓠꓬꓲ ꓟꓳ ꓓꓴˍ ꓐꓰ ꓠꓯ ꓞꓲ, ꓟ ꓔꓯ ꓐꓱꓻ ꓗꓷˍ ꓡꓳ="
"God saw","ꓪꓴ-ꓢ ꓡꓳ. ꓟꓳˍ ꓡꓳ"
"God","ꓪꓴ-ꓢ"
"with","ꓐꓰ"
"come with me", "ꓥꓪ ꓐꓰ ꓕꓲꓽ ꓛꓳ ꓙꓰ ꓡꓯ","usage: 'with' acts as 'together', do something together"
"eat with me", "ꓥꓪ ꓐꓰ ꓕꓲꓽ ꓛꓳ ꓜ ꓗ ꓡꓯ","usage: 'with' acts as 'together', do something together"
"with you", "ꓠꓴ ꓐꓰ ꓕꓲꓽ ꓛꓳˍ","usage: 'with' acts as 'together', do something together"
"wash with water", "ꓬꓲ ꓙꓬ ꓐꓰ ꓞꓲ", "usage: the word 'with' is same as 'using'"
"eat with hands", "ꓡꓯ ꓒꓯ ꓐꓰ ꓜ", "usage: the word 'with' is same as 'using'"
"I'm","ꓥꓪ ꓠꓬ"
"I am", "ꓥꓪ ꓠꓬ"
"I am resting","ꓥꓪ ꓠꓬ ꓠ: ꓔꓬˍ ꓡꓳ"
"I am taking rest","ꓥꓪ ꓠꓬ ꓠ: ꓔꓬˍ ꓡꓳ"
"I give you every tree","ꓥꓪ ꓡꓰ ꓠꓴ ꓪ ꓔꓯ ꓢꓲ, ꓜꓲ ꓡꓳ ꓜꓲ ꓥ ꓕ ꓑꓳ ꓖꓶ ꓗꓷꓳ="
"In the beginning God created the heavens and the earth.","ꓬꓲ ꓚꓰ ꓬꓲ ꓪꓴ ꓗꓪ ꓪꓴ-ꓢ ꓡꓰ ꓟꓴ ꓗꓪˍ ꓐꓰ ꓟꓲ ꓠꓯ ꓔꓯ ꓚꓰ;ˍ ꓡꓳ="
"In the beginning","ꓬꓲ ꓚꓰ ꓬꓲ ꓪꓴ"
"Let the water teem with living creatures","ꓬꓲ ꓙꓬ ꓗꓪ ꓠꓬ ꓢꓯ; ꓟꓬ ꓙꓳˍ ꓡꓳ ꓫꓵ: ꓮ ꓟꓬ ꓖꓪꓺ ꓡ ꓝꓲ꓾"
"Let the water under the sky be gathered to one place,","ꓟꓴ ꓗꓪ ꓠꓯ. ꓘꓪ ꓗꓪ ꓟ ꓬꓲ ꓙꓬ ꓔꓯ ꓕꓲ ꓪꓺ; ꓜꓲ; ꓡꓰ ꓝꓲ ꓢꓲ꓾ ꓟꓲ ꓩꓴ ꓓꓳ ꓡ ꓝꓲ꓾"
"Let there be (subject)","(subject) ꓙꓳꓻ ꓡ ꓝꓲ꓾"
"Let there be a firmament in the midst of the waters","ꓬꓲ ꓙꓬ ꓗꓳ ꓡꓳ ꓗꓪ ꓟꓵ: ꓪꓴ ꓙꓳꓻ ꓝꓲ"
"Let there be light","ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓙꓳꓻ ꓡ ꓝꓲ"
"Let there be","ꓙꓳꓻ ꓝꓲ"
"Now the earth was formless and empty,","ꓟꓲ ꓠꓯ ꓠꓬ ꓬꓲ ꓑꓰ, ꓟ: ꓙꓳ ꓟ ꓬꓲ ꓖꓳ: ꓥ ꓢꓲ꓾"
"Rule over every living creature that moves on the ground.","ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓗꓪ ꓡꓵ ꓔꓬˍ ꓟ ꓢꓯ. ꓔꓬˍ ꓡꓳ ꓫꓵ ꓥ ꓕ ꓑꓳ ꓕꓯ ꓢꓲ ꓗꓪ ꓙꓵ: ꓪ ꓙꓳ ꓝꓲ="
"Rule over the fish in the sea and the birds in the sky and over every living creature that moves on the ground.","ꓬꓲ ꓡꓴ ꓐꓱ ꓗꓪ ꓟ ꓥꓪ.ˍ ꓐꓰ꓾ ꓟꓵ: ꓪꓴ ꓗꓪ ꓟ ꓠꓬ, ꓤ ꓙꓱ ꓤˍ ꓐꓰ꓾ ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓗꓪ ꓡꓵ ꓔꓬˍ ꓟ ꓢꓯ. ꓔꓬˍ ꓡꓳ ꓫꓵ ꓥ ꓕ ꓑꓳ ꓕꓯ ꓢꓲ ꓗꓪ ꓙꓵ: ꓪ ꓙꓳ ꓝꓲ="
"Spirit of God","ꓪꓴ-ꓢ ꓦꓻ"
"Spirit","ꓦꓻ"
